Krøyersvej 27, 5700 Svendborg
Bruuns Alle 4, 5700 Svendborg
Havnegade 1, 5700 Svendborg
Heibergsvænge 6, 5700 Svendborg
Havnegade 1, 5700 Svendborg
Heibergsvænge 12, 5700 Svendborg
Havnegade 4,  4, 5700 Svendborg
Skarøvej 10, 5700 Svendborg
Havnegade 3, 1, 5700 Svendborg
Havnegade 4,  L-8, 5700 Svendborg
Havnegade 4, ST L-9, 5700 Svendborg
Havnegade 4,  L-3, 5700 Svendborg
Langhaven 5, 5700 Svendborg
Troldeskovvej 18, 5700 Svendborg
Møllergade 112, ST TH, 5700 Svendborg
Møllergade 112, 1 TV, 5700 Svendborg
Apotekervej 7, 1, 5700 Svendborg
Heibergsvænge 8, 5700 Svendborg
Løkketoften 17, 5700 Svendborg
Møllergade 112, 2, 5700 Svendborg
Møllergade 112, 1 TH, 5700 Svendborg
Avernakøvej 27, 5700 Svendborg
Ørkildsgade 3, ST TV, 5700 Svendborg
Ørkildsgade 3, 1 TV, 5700 Svendborg
Ørkildsgade 3, ST TH, 5700 Svendborg
Centrumpladsen 17, 5700 Svendborg
Ørkildsgade 3, 1 TH, 5700 Svendborg
Ørkildsgade 3, 2 TV, 5700 Svendborg
Ørkildsgade 3, 2 TH, 5700 Svendborg
Korsgade 18, 5700 Svendborg
Søkildevej 32, 5700 Svendborg
Ørkildsgade 7, 1, 5700 Svendborg
Skovvej 21, 5700 Svendborg
Ørkildsgade 9, 5700 Svendborg
Ørkildsgade 16, KL TH, 5700 Svendborg
H C Andersens Vej 30, 5700 Svendborg
Ørkildsgade 11, 5700 Svendborg
Ørkildsgade 13, 5700 Svendborg
Ørkildsgade 14, ST TH, 5700 Svendborg
Ørkildsgade 14, 2, 5700 Svendborg
Sanddalsvej 4, 5700 Svendborg
H C Ørsteds Vej 11, 5700 Svendborg
Ørkildsgade 14, ST TV, 5700 Svendborg
Ørkildsgade 16, 1 TV, 5700 Svendborg
Ørkildsgade 17, 5700 Svendborg
Bjørnøvej 52, 5700 Svendborg
Ørkildsgade 18, 5700 Svendborg
Ørkildsgade 19, 5700 Svendborg
Ryttermarken 5, 5700 Svendborg
Ørkildsgade 20, 5700 Svendborg
Skovsbovej 25, 5700 Svendborg
Brydevej 19, 2, 5700 Svendborg
Avernakøvej 55, 5700 Svendborg
Enghavevej 30, 5700 Svendborg
Nyborgvej 3, 5700 Svendborg
Tycho Brahes Vej 10, 5700 Svendborg
Ørkildsgade 24, ST, 5700 Svendborg
Ørkildsgade 26, ST, 5700 Svendborg
Ørkildsgade 26, 5700 Svendborg
Ørkildsgade 29, 5700 Svendborg
Ørkildsgade 29, 1, 5700 Svendborg
Ørkildsgade 31, 1, 5700 Svendborg
Ørkildsgade 32, 5700 Svendborg
Ørkildsgade 32, 1, 5700 Svendborg
Ørkildsgade 33, ST, 5700 Svendborg
Ørkildsgade 33, 1, 5700 Svendborg
Ørkildsgade 33, 2 TH, 5700 Svendborg
Ørkildsgade 34, 5700 Svendborg
Ørkildsgade 34, 5700 Svendborg
Ørkildsgade 34, 1, 5700 Svendborg
Ørkildsgade 34, 2, 5700 Svendborg
Ørkildsgade 35, ST, 5700 Svendborg
Ørkildsgade 35, 1, 5700 Svendborg
Gerritsgade 34, 5700 Svendborg
Ørkildsgade 35, 2, 5700 Svendborg
Ørkildsgade 36, 5700 Svendborg
Ørkildsgade 38, Kl. 5700 Svendborg
Ørkildsgade 38, ST, 5700 Svendborg
Ørkildsgade 38, 1, 5700 Svendborg
Ørkildsgade 38, 2, 5700 Svendborg
Rådmandsvej 12, 5700 Svendborg
Stubbevangen 25, 5700 Svendborg
Ørkildsgade 39, 5700 Svendborg
Ørkildsgade 40, ST, 5700 Svendborg
Ørkildsgade 40, 1, 5700 Svendborg
Ørkildsgade 40, 2, 5700 Svendborg
Ørkildsgade 40, 5700 Svendborg
Valdemarsgade 33, 5700 Svendborg
Ørkildsgade 42, 5700 Svendborg
Ørkildsgade 43, 5700 Svendborg
Kobberbæksvej 85, 5700 Svendborg
Korshøjvej 1, 5700 Svendborg
Klampenborgvej 28, 5700 Svendborg
Ørkildsgade 45, 5700 Svendborg
Ørkildsgade 46, ST, 5700 Svendborg
Ørkildsgade 46, 2 TV, 5700 Svendborg
Ørkildsgade 46, 1, 5700 Svendborg
Ørkildsgade 47, 5700 Svendborg
Ørkildsgade 49, 5700 Svendborg
Johan Lundbyes Vej 18, 5700 Svendborg
Ørkildsgade 51, 5700 Svendborg
Ørkildsgade 53, ST, 5700 Svendborg
Ørkildsgade 53, 1, 5700 Svendborg
Caroline Amalie Vej 1, 2 TV, 5700 Svendborg
Sætting Strandvej 1, 5700 Svendborg
Lundtoftevej 67, 5700 Svendborg
Ørkildsgade 53, 2 TH, 5700 Svendborg
Caroline Amalie Vej 1, 1, 5700 Svendborg
Caroline Amalie Vej 1, ST, 5700 Svendborg
Wandallsparken 26, 5700 Svendborg
Ørkildsgade 57, 5700 Svendborg
Ørkildsgade 59, 5700 Svendborg
Ole Rømers Vej 28, 5700 Svendborg
Mølmarksvej 180, 5700 Svendborg
Ørkildsgade 61, 5700 Svendborg
Mølmarksvej 166, 5700 Svendborg
Ørkildsgade 61, 5700 Svendborg
Rytterskoven 5, 5700 Svendborg
Søgårdsvej 1, ST, 5700 Svendborg
Høje Bøge Vej 2,  Fællesmåle, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
Søgårdsvej 2, 5700 Svendborg
Søgårdsvej 3, ST, 5700 Svendborg
Søgårdsvej 3, 1, 5700 Svendborg
Søgårdsvej 4, 5700 Svendborg
Søgårdsvej 5, ST TV, 5700 Svendborg
Søgårdsvej 5, ST TH, 5700 Svendborg
Søgårdsvej 5, 1 TH, 5700 Svendborg
Søgårdsvej 6, 1, 5700 Svendborg
Grønnemosevej 20, 5700 Svendborg
Søgårdsvej 7, ST TH, 5700 Svendborg
Søgårdsvej 7, 1 TH, 5700 Svendborg
Søgårdsvej 7, 1 TV, 5700 Svendborg
Søgårdsvej 7, ST TV, 5700 Svendborg
Søgårdsvej 8, ST TH, 5700 Svendborg
Søgårdsvej 8, ST TV, 5700 Svendborg
A P Møllers Vej 4, 5700 Svendborg
Søgårdsvej 8, 2 TH, 5700 Svendborg
Søgårdsvej 8, 1 TV, 5700 Svendborg
Søgårdsvej 8, 1 TH, 5700 Svendborg
Søgårdsvej 8, 2 TV, 5700 Svendborg
Søgårdsvej 9, 5700 Svendborg
Søgårdsvej 11, 1, 5700 Svendborg
Søgårdsvej 11, ST, 5700 Svendborg
Sankt Hans Vej 2, 5700 Svendborg
Søgårdsvej 12, 5700 Svendborg
Vestergade 7, 5700 Svendborg
Søgårdsvej 13, 5700 Svendborg
Søgårdsvej 14, ST, 5700 Svendborg
Søgårdsvej 15, 5700 Svendborg
Daltoftevej 13, 5700 Svendborg
Søgårdsvej 17, 5700 Svendborg
Søgårdsvej 19, 5700 Svendborg
Søgårdsvej 21, 5700 Svendborg
Søgårdsvej 23, 5700 Svendborg
Enghavevej 15, 5700 Svendborg
Søgårdsvej 25, 5700 Svendborg
Avernakøvej 67, 5700 Svendborg
Søgårdsvej 27, 5700 Svendborg
Sybergsvej 13, 5700 Svendborg
Søgårdsvej 29, 5700 Svendborg
Søgårdsvej 31, 5700 Svendborg
Søgårdsvej 33, 5700 Svendborg
Søgårdsvej 35, 5700 Svendborg
Korsgade 14, 2 TH, 5700 Svendborg
Byparken 6, 5700 Svendborg
Søgårdsvej 39, 5700 Svendborg
Søgårdsvej 41, 5700 Svendborg
Klampenborgvej 59, 5700 Svendborg
Søgårdsvej 43, 5700 Svendborg
A P Møllers Vej 31, 5700 Svendborg
Søgårdsvej 45, 5700 Svendborg
Bontvedvej 32, 5700 Svendborg
Wandallsparken 1, 5700 Svendborg
Heibergsvænge 19, 5700 Svendborg
Søgårdsvej 47, ST TH, 5700 Svendborg
Søgårdsvej 47, Kl. 5700 Svendborg
Søgårdsvej 47, 5700 Svendborg
Søgårdsvej 47, ST TV, 5700 Svendborg
Søgårdsvej 47, 1 TH, 5700 Svendborg
Søgårdsvej 47, 1 TV, 5700 Svendborg
Sankt Hans Vej 1, 5700 Svendborg
Linkenkærsvej 53, 5700 Svendborg
Sankt Hans Vej 3, 5700 Svendborg
Hestehavevej 6, 5700 Svendborg
Søgårdsvænge 4, 5700 Svendborg
Sankt Hans Vej 2, 1, 5700 Svendborg
Sankt Hans Vej 4,  Trappelys, 5700 Svendborg
Fruerstuevej 97, 5700 Svendborg
Sankt Hans Vej 5, ST, 5700 Svendborg
Sankt Hans Vej 6, 5700 Svendborg
Skovsbovej 5, 5700 Svendborg
Sankt Hans Vej 6, 5700 Svendborg
Rødeledsvej 69, 5700 Svendborg
Sankt Hans Vej 7, 5700 Svendborg
Sankt Hans Vej 8, 1, 5700 Svendborg
Johan Lundbyes Vej 7, 5700 Svendborg
Kattesundet 1, 5700 Svendborg
Stampebæksvej 2, 5700 Svendborg
Brorsonsvænge 14, 5700 Svendborg
Stampebæksvej 4, 5700 Svendborg
Møllergade 19, 2 TV, 5700 Svendborg
Avernakøvej 53, 5700 Svendborg
Svendborg Vinkelvej 2, 5700 Svendborg
Mellemvej 38, 5700 Svendborg
Johan Lundbyes Vej 17, 5700 Svendborg
Svendborg Vinkelvej 4, 5700 Svendborg
Gartnervej 4, 5700 Svendborg
Brorsonsvænge 13, 5700 Svendborg
Margrethevej 1, 5700 Svendborg
Søgårdsvænge 4, 1, 5700 Svendborg
Margrethevej 2, 5700 Svendborg
Margrethevej 2, ST TV, 5700 Svendborg
Margrethevej 3, 5700 Svendborg
Hyldtoftevej 7, 5700 Svendborg
Margrethevej 3, 5700 Svendborg
Klintemarken 17, 5700 Svendborg
Margrethevej 4, 5700 Svendborg
Havnepladsen 2, 5700 Svendborg
Margrethevej 5, 5700 Svendborg
Gartnerhøj 23, 5700 Svendborg
Lundevej 1, 5700 Svendborg
Lundevej 1, 5700 Svendborg
Lundevej 1, 1, 5700 Svendborg
Kogtvedvej 70, 5700 Svendborg
Lundevej 1, 5700 Svendborg
Lundevej 1, 2, 5700 Svendborg
Krøyersvej 25, 5700 Svendborg
Blåmunkevej 7, 5700 Svendborg
Klintemarken 15, ST TV, 5700 Svendborg
H C Andersens Vej 39, 5700 Svendborg
Lundevej 2, 5700 Svendborg
Lundevej 2, 5700 Svendborg
Rødeledsvej 42, 5700 Svendborg
Lundevej 4, 5700 Svendborg
Skovsbovej 27, 5700 Svendborg
Lundevej 5, 5700 Svendborg
Lundevej 5, 5700 Svendborg
Tinggårdsvej 7, 5700 Svendborg
Viemaen 7, 5700 Svendborg
Lundevej 6, 5700 Svendborg
Lundevej 7, 1, 5700 Svendborg
Lundevej 8, 5700 Svendborg
Lundevej 9, 2, 5700 Svendborg
Lundevej 9, 1, 5700 Svendborg
Frilandsvej 6, 5700 Svendborg
Vilhelm Thomsens Vej 18, 5700 Svendborg
Rømerparken 45, 5700 Svendborg
Rømerparken 53, 5700 Svendborg
Rømerparken 49, 5700 Svendborg
Rømerparken 47, 5700 Svendborg
Lundevej 10, 5700 Svendborg
Lundevej 11, 5700 Svendborg
Lundevej 12, 5700 Svendborg
Lundevej 13, ST TV, 5700 Svendborg
Krøyersvej 30, 5700 Svendborg
Lundevej 14, 5700 Svendborg
Sankt Jørgens Vej 1, 5700 Svendborg
Lundevej 16, 5700 Svendborg
Lundevej 16, 5700 Svendborg
Sankt Jørgens Vej 3, 5700 Svendborg
Sankt Jørgens Vej 3, 2, 5700 Svendborg
Sankt Jørgens Vej 3, 1 TV, 5700 Svendborg
Sankt Jørgens Vej 3, 1 TH, 5700 Svendborg
Sankt Jørgens Vej 3, ST TV, 5700 Svendborg
Sankt Jørgens Vej 3, ST TH, 5700 Svendborg
Lundevej 18, 5700 Svendborg
Sankt Jørgens Vej 5, ST, 5700 Svendborg
Sankt Jørgens Vej 5, 1, 5700 Svendborg
Lundevej 20, 1, 5700 Svendborg
Lundevej 20, 5700 Svendborg
Lundevej 20, 2, 5700 Svendborg
Sankt Jørgens Vej 7, ST TV, 5700 Svendborg
Sankt Jørgens Vej 7, 1, 5700 Svendborg
Sankt Jørgens Vej 7, 5700 Svendborg
Sankt Jørgens Vej 7, 2, 5700 Svendborg
Lundevej 22, 1, 5700 Svendborg
Lundevej 22, ST, 5700 Svendborg
Heimdalsvej 19, 5700 Svendborg
Heimdalsvej 7, 5700 Svendborg
Sankt Jørgens Vej 9, 5700 Svendborg
Mølmarksvej 81, 5700 Svendborg
Sankt Jørgens Vej 13, 5700 Svendborg
Lundevej 26, 5700 Svendborg
Sankt Jørgens Vej 15, 5700 Svendborg
Sankt Jørgens Vej 15, 5700 Svendborg
Sankt Jørgens Vej 2, 5700 Svendborg
Kogtvedvej 76, 5700 Svendborg
Iholmvænge 6, 5700 Svendborg
Enemærket 21, 5700 Svendborg
Sankt Jørgens Vej 4, 5700 Svendborg
Rømerparken 8, 5700 Svendborg
Mølmarksvej 168, 5700 Svendborg
Sankt Jørgens Vej 6, 1, 5700 Svendborg
Lundtoftevej 41, 5700 Svendborg
Sankt Jørgens Vej 8, 5700 Svendborg
Sankt Jørgens Vej 10, Kl. 5700 Svendborg
Sankt Jørgens Vej 10, 5700 Svendborg
Sankt Jørgens Vej 12, 5700 Svendborg
Sankt Jørgens Vej 14, ST, 5700 Svendborg
Sankt Jørgens Vej 14, 1, 5700 Svendborg
Sankt Jørgens Vej 16, 1, 5700 Svendborg
Porthusvej 29, 5700 Svendborg
H C Ørsteds Vej 38, 5700 Svendborg
Lyøvej 9, 5700 Svendborg
Kogtvedparken 70, 5700 Svendborg
Kogtvedparken 88, 5700 Svendborg
Belvedere 15, 5700 Svendborg
Pengekrogen 27, 5700 Svendborg
Bjørnøvej 9, 5700 Svendborg
Heibergsvænge 5, 5700 Svendborg
Læhegnet 4, 5700 Svendborg
Bontvedvænget 3, 5700 Svendborg
Pengekrogen 44, 5700 Svendborg
Møllergade 106, 2, 5700 Svendborg
Stubbevangen 34, 5700 Svendborg
Stubbevangen 36, 5700 Svendborg
Grønnemosevej 7, 5700 Svendborg
Iholmvænge 8, 5700 Svendborg
H C Ørsteds Vej 46, 5700 Svendborg
Ørbækvej 42,  varmecen, 5700 Svendborg
Svelmøvænge 6, 5700 Svendborg
Trappebæksvej 24, 5700 Svendborg
H C Ørsteds Vej 48, 5700 Svendborg
Trappebæksvej 24, 5700 Svendborg
Lundevej 2, 5700 Svendborg
Daltoftevej 1, 5700 Svendborg
Glentevej 13, 5700 Svendborg
Lundtoftevej 27, 5700 Svendborg
Femte Maj Plads 10, 5700 Svendborg
Klosterstræde 2, 5700 Svendborg
Femte Maj Plads 9, 5700 Svendborg
Svelmøvænge 5, 5700 Svendborg
Nyborgvej 206, 5700 Svendborg
Nyborgvej 247, 5700 Svendborg
Vilhelmskildevej 1, 5700 Svendborg
Vilhelmskildevej 1, 5700 Svendborg
Vilhelmskildevej 2, 5700 Svendborg
Vilhelmskildevej 2, 5700 Svendborg
Christiansvej 33, 5700 Svendborg
Vilhelmskildevej 3, 5700 Svendborg
Vilhelmskildevej 4, 5700 Svendborg
Vilhelmskildevej 5, ST, 5700 Svendborg
Vilhelmskildevej 7, 5700 Svendborg
Vilhelmskildevej 8, 5700 Svendborg
Vilhelmskildevej 9, 5700 Svendborg
Vilhelmskildevej 10, 5700 Svendborg
Pengekrogen 31, 5700 Svendborg
Vilhelmskildevej 11, 5700 Svendborg
Vilhelmskildevej 12, ST, 5700 Svendborg
Vilhelmskildevej 13, ST, 5700 Svendborg
Vilhelmskildevej 15, 5700 Svendborg
Bjørnøvej 62, 5700 Svendborg
Ole Rømers Vej 34, 5700 Svendborg
Lundevej 2, 5700 Svendborg
Lundevej 2, 2, 5700 Svendborg
Klampenborgvej 54, 5700 Svendborg
Lundevej 2, 1, 5700 Svendborg
Vestergade 1, ST, 5700 Svendborg
Johan Lundbyes Vej 6, 5700 Svendborg
Troldeskovvej 20, 5700 Svendborg
Ægirsvej 2, 5700 Svendborg
Ørbækvej 38, 5700 Svendborg
Grundtvigsvej 15, 5700 Svendborg
Vestergade 4, 5700 Svendborg
Lupinvænget 76, 5700 Svendborg
Vestergade 4, 5700 Svendborg
Lupinvænget 70, 5700 Svendborg
Vestergade 8, 5700 Svendborg
Vestergade 10, 5700 Svendborg
Bjørnemosevej 40, 5700 Svendborg
Vestergade 10, 5700 Svendborg
Vestergade 3, ST, 5700 Svendborg
Vestergade 12, 1, 5700 Svendborg
Vestergade 12, 2, 5700 Svendborg
Vestergade 5, 5700 Svendborg
Trappebæksvej 23, 5700 Svendborg
Vestergade 14, 5700 Svendborg
Voldgade 13, 5700 Svendborg
Nonnevænget 19, 5700 Svendborg
Voldgade 11, 5700 Svendborg
Voldgade 11, 5700 Svendborg
Vestergade 14, 5700 Svendborg
Grønnemosevej 5, 5700 Svendborg
Kirsebærvej 16, 5700 Svendborg
Odensevej 65, 5700 Svendborg
Sanddalsvænget 10, 5700 Svendborg
Sandhøj 7, 5700 Svendborg
Sanddalsvej 33, 5700 Svendborg
Korsgade 14, 1 TH, 5700 Svendborg
Fruerstuevej 97, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
Korshøjvænge 12, 5700 Svendborg
Fruerstuevej 97, 5700 Svendborg
Fruerstuevej 97, 5700 Svendborg
Linkensvænge 12, 5700 Svendborg
Linkensvænge 20, 5700 Svendborg
Hybenvej 23, 5700 Svendborg
Kristian Erslevs Vej 1, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
Fruerstuevej 93, 5700 Svendborg
Fruerstuevej 95, 5700 Svendborg
Rødeledsvej 49, 5700 Svendborg
Niels Hansens Vej 6, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
A P Møllers Vej 41, 5700 Svendborg
Østerhovedvej 4, 5700 Svendborg
Belvedere 14, 5700 Svendborg
Strandbakken 1, 5700 Svendborg
Fruerstuevej 89, 5700 Svendborg
Fruerstuevej 87, 5700 Svendborg
Daltoftevej 15, 5700 Svendborg
Jægermarken 12, 2 TH, 5700 Svendborg
Ørbækvænget 4, 5700 Svendborg
Kirsebærvej 18, 5700 Svendborg
Brorsonsvænge 5, 5700 Svendborg
Centrumpladsen 18, 5700 Svendborg
Rønne Alle 15, 5700 Svendborg
Skyttevej 19, 5700 Svendborg
Heibergsvænge 26, 5700 Svendborg
Stubbevangen 18, 5700 Svendborg
Lundtoftevej 35, 5700 Svendborg
Pengekrogen 18, 5700 Svendborg
Vestergade 24, 5700 Svendborg
Vestergade 25, 5700 Svendborg
Vestergade 26, 1 TH, 5700 Svendborg
Vestergade 27, 5700 Svendborg
Nordre Kajgade 13, 5700 Svendborg
Tinghusgade 41, 5700 Svendborg
Gerritsgade 27, 5700 Svendborg
Valdemarsgade 14, ST, 5700 Svendborg
Valdemarsgade 13, 5700 Svendborg
Valdemarsgade 13, 5700 Svendborg
Valdemarsgade 13, 5700 Svendborg
Gyldenbjergsvej 40, 5700 Svendborg
Vestergade 31, 5700 Svendborg
Husmandsvej 2, 5700 Svendborg
Vestergade 30, 5700 Svendborg
Viebæltet 1, 5700 Svendborg
Vestergade 30, 5700 Svendborg
Vestergade 30, 1 TV, 5700 Svendborg
Vestergade 30, 5700 Svendborg
Vestergade 30, 2 1, 5700 Svendborg
Vestergade 32, 1 TH, 5700 Svendborg
Vestergade 32, 1 TV, 5700 Svendborg
Vestergade 32, 5700 Svendborg
Vestergade 32, ST TH, 5700 Svendborg
Vestergade 32, 5700 Svendborg
Vestergade 32, 1 TV, 5700 Svendborg
Kogtvedvej 67, 5700 Svendborg
Jægermarken 12, ST MF, 5700 Svendborg
Nyborgvej 182, 5700 Svendborg
Siøvænge 3, 5700 Svendborg
Avernakøvej 5, 5700 Svendborg
Ryttermarken 31, 5700 Svendborg
Illumøvej 16, 5700 Svendborg
Bjørnøvej 6, 5700 Svendborg
Gyldenbjergsvej 12, 5700 Svendborg
Vestergade 35, 1, 5700 Svendborg
Vestergade 35, 2, 5700 Svendborg
Vestergade 35, 5700 Svendborg
Stubbevangen 12, 5700 Svendborg
Vestergade 36, ST, 5700 Svendborg
Lundtoftevej 7, 5700 Svendborg
Vestergade 38, ST, 5700 Svendborg
Vestergade 38, 1, 5700 Svendborg
Grønnemosevej 13, 5700 Svendborg
Bjergvænget 8, 5700 Svendborg
Vestergade 38, 5700 Svendborg
Dronningemaen 71, 5700 Svendborg
Kogtvedparken 18, 5700 Svendborg
Vestergade 39, ST TH, 5700 Svendborg
Vestergade 39, 1 TH, 5700 Svendborg
Vestergade 39, 2, 5700 Svendborg
Vestergade 8, 5700 Svendborg
Vestergade 40, 1, 5700 Svendborg
Vestergade 40, 5700 Svendborg
Birkholmvænge 7, 5700 Svendborg
Dronningemaen 82, ST TV, 5700 Svendborg
Dronningemaen 82, ST TH, 5700 Svendborg
Dronningemaen 82, 1 TV, 5700 Svendborg
Mølmarksvej 40, 5700 Svendborg
Rådmandsvej 1, 5700 Svendborg
Vestergade 40, 5700 Svendborg
Vestergade 42, 5700 Svendborg
Vestergade 42, 2, 5700 Svendborg
Skyttevej 20, 5700 Svendborg
Vestergade 40, 5700 Svendborg
Vestergade 42, 1, 5700 Svendborg
Korshøjvænge 6, 5700 Svendborg
Vestergade 42, 2, 5700 Svendborg
Vestergade 42, 1, 5700 Svendborg
Vestergade 42, ST, 5700 Svendborg
Vestergade 44, 5700 Svendborg
Porthusvej 56, 5700 Svendborg
Mølmarksvej 197, 5700 Svendborg
Krøyersvej 11, 5700 Svendborg
H C Andersens Vej 29, 5700 Svendborg
Linkenkærsvej 41, 5700 Svendborg
Vestergade 42, 5700 Svendborg
Vildrosevej 6, 5700 Svendborg
Vestergade 46, ST, 5700 Svendborg
Vestergade 46, 5700 Svendborg
Christinedalsvej 24, 5700 Svendborg
Følfodvej 2, 5700 Svendborg
Følfodvej 4, 5700 Svendborg
